# wall time,egm tm, egm seqno, input joint, received joint
1542076831576.00000,584769.00000,1.00000,3.00000,0.00000
1542076831576.00000,584773.00000,2.00000,2.99999,0.00000
1542076831576.00000,584777.00000,3.00000,2.99996,0.00000
1542076831576.00000,584781.00000,4.00000,2.99991,0.00000
1542076831576.00000,584785.00000,5.00000,2.99985,0.00000
1542076831576.00000,584789.00000,6.00000,2.99976,0.00000
1542076831576.00000,584793.00000,7.00000,2.99966,0.00000
1542076831576.00000,584797.00000,8.00000,2.99953,0.00000
1542076831586.00000,584801.00000,9.00000,2.99939,0.00000
1542076831586.00000,584805.00000,10.00000,2.99922,0.00000
1542076831586.00000,584809.00000,11.00000,2.99904,0.00000
1542076831586.00000,584813.00000,12.00000,2.99883,0.00000
1542076831586.00000,584817.00000,13.00000,2.99861,0.00000
1542076831586.00000,584821.00000,14.00000,2.99837,0.00000
1542076831596.00000,584825.00000,15.00000,2.99810,0.00000
1542076831596.00000,584829.00000,16.00000,2.99782,0.00000
1542076831596.00000,584833.00000,17.00000,2.99751,0.00000
1542076831596.00000,584837.00000,18.00000,2.99719,0.00000
1542076831596.00000,584841.00000,19.00000,2.99684,0.00000
1542076831596.00000,584845.00000,20.00000,2.99648,0.00000
1542076831606.00000,584849.00000,21.00000,2.99609,0.00000
1542076831606.00000,584853.00000,22.00000,2.99568,0.00000
1542076831606.00000,584857.00000,23.00000,2.99525,0.00000
1542076831606.00000,584861.00000,24.00000,2.99480,0.00000
1542076831606.00000,584865.00000,25.00000,2.99433,0.00000
1542076831606.00000,584869.00000,26.00000,2.99384,0.00000
1542076831606.00000,584873.00000,27.00000,2.99333,0.00000
1542076831606.00000,584877.00000,28.00000,2.99279,0.00000
1542076831606.00000,584881.00000,29.00000,2.99224,0.00000
1542076831606.00000,584885.00000,30.00000,2.99166,0.00000
1542076831606.00000,584889.00000,31.00000,2.99106,0.00000
1542076831606.00000,584893.00000,32.00000,2.99044,0.00000
1542076831606.00000,584897.00000,33.00000,2.98980,0.00000
1542076831616.00000,584901.00000,34.00000,2.98914,0.00000
1542076831616.00000,584905.00000,35.00000,2.98845,0.00000
1542076831616.00000,584909.00000,36.00000,2.98774,0.00000
1542076831616.00000,584913.00000,37.00000,2.98701,0.00000
1542076831616.00000,584917.00000,38.00000,2.98626,0.00000
1542076831616.00000,584921.00000,39.00000,2.98549,0.00000
1542076831616.00000,584925.00000,40.00000,2.98469,0.00000
1542076831616.00000,584929.00000,41.00000,2.98387,0.00000
1542076831616.00000,584933.00000,42.00000,2.98303,0.00000
1542076831616.00000,584937.00000,43.00000,2.98216,0.00000
1542076831616.00000,584941.00000,44.00000,2.98127,0.00000
1542076831616.00000,584945.00000,45.00000,2.98036,0.00000
1542076831616.00000,584949.00000,46.00000,2.97943,0.00000
1542076831616.00000,584953.00000,47.00000,2.97847,0.00000
1542076831616.00000,584957.00000,48.00000,2.97749,0.00000
1542076831626.00000,584961.00000,49.00000,2.97649,0.00000
1542076831626.00000,584965.00000,50.00000,2.97547,0.00000
1542076831626.00000,584969.00000,51.00000,2.97442,0.00000
1542076831626.00000,584973.00000,52.00000,2.97334,0.00000
1542076831626.00000,584977.00000,53.00000,2.97225,0.00000
1542076831626.00000,584981.00000,54.00000,2.97113,0.00000
1542076831626.00000,584985.00000,55.00000,2.96998,0.00000
1542076831626.00000,584989.00000,56.00000,2.96882,0.00000
1542076831626.00000,584993.00000,57.00000,2.96762,0.00000
1542076831626.00000,584997.00000,58.00000,2.96641,0.00000
1542076831626.00000,585001.00000,59.00000,2.96517,0.00000
1542076831626.00000,585005.00000,60.00000,2.96390,0.00000
1542076831626.00000,585009.00000,61.00000,2.96262,0.00000
1542076831626.00000,585013.00000,62.00000,2.96130,0.00000
1542076831626.00000,585017.00000,63.00000,2.95997,0.00000
1542076831626.00000,585021.00000,64.00000,2.95860,0.00000
1542076831626.00000,585025.00000,65.00000,2.95722,0.00000
1542076831626.00000,585029.00000,66.00000,2.95581,0.00000
1542076831626.00000,585033.00000,67.00000,2.95437,0.00000
1542076831626.00000,585037.00000,68.00000,2.95291,0.00000
1542076831626.00000,585041.00000,69.00000,2.95142,0.00000
1542076831626.00000,585045.00000,70.00000,2.94991,0.00000
1542076831626.00000,585049.00000,71.00000,2.94838,0.00000
1542076831636.00000,585053.00000,72.00000,2.94682,0.00000
1542076831636.00000,585057.00000,73.00000,2.94523,0.00000
1542076831636.00000,585061.00000,74.00000,2.94362,0.00000
