# wall time,egm tm, egm seqno, input joint, received joint
1542082096549.00000,626456.00000,42.00000,4.83349,0.00000
1542082096549.00000,626460.00000,43.00000,4.87196,0.00000
1542082096549.00000,626464.00000,44.00000,4.90544,0.00000
1542082096549.00000,626468.00000,45.00000,4.93389,0.00000
1542082096559.00000,626472.00000,46.00000,4.95729,0.00000
1542082096559.00000,626476.00000,47.00000,4.97562,0.00000
1542082096559.00000,626480.00000,48.00000,4.98885,0.00000
1542082096559.00000,626484.00000,49.00000,4.99697,0.00000
1542082096559.00000,626488.00000,50.00000,4.99998,0.00000
1542082096559.00000,626492.00000,51.00000,4.99787,0.00000
1542082096559.00000,626496.00000,52.00000,4.99064,0.00000
1542082096559.00000,626500.00000,53.00000,4.97830,0.00000
1542082096559.00000,626504.00000,54.00000,4.96086,0.00000
1542082096559.00000,626508.00000,55.00000,4.93834,0.00000
1542082096559.00000,626512.00000,56.00000,4.91077,0.00000
1542082096559.00000,626516.00000,57.00000,4.87817,0.00000
1542082096559.00000,626520.00000,58.00000,4.84057,0.00000
1542082096559.00000,626524.00000,59.00000,4.79802,0.00000
1542082096559.00000,626528.00000,60.00000,4.75056,0.00000
1542082096559.00000,626532.00000,61.00000,4.69823,0.00000
1542082096559.00000,626536.00000,62.00000,4.64109,0.00000
1542082096559.00000,626540.00000,63.00000,4.57920,0.00000
1542082096569.00000,626544.00000,64.00000,4.51261,0.00000
1542082096569.00000,626548.00000,65.00000,4.44141,0.00000
1542082096569.00000,626552.00000,66.00000,4.36566,0.00000
1542082096569.00000,626556.00000,67.00000,4.28545,0.00000
1542082096569.00000,626560.00000,68.00000,4.20084,0.00000
1542082096569.00000,626564.00000,69.00000,4.11193,0.00000
1542082096569.00000,626568.00000,70.00000,4.01881,0.00000
1542082096569.00000,626572.00000,71.00000,3.92158,0.00000
1542082096569.00000,626576.00000,72.00000,3.82033,0.00000
1542082096569.00000,626580.00000,73.00000,3.71517,0.00000
1542082096569.00000,626584.00000,74.00000,3.60621,0.00000
1542082096569.00000,626588.00000,75.00000,3.49355,0.00000
1542082096569.00000,626592.00000,76.00000,3.37732,0.00000
1542082096569.00000,626596.00000,77.00000,3.25762,0.00000
1542082096569.00000,626600.00000,78.00000,3.13460,0.00000
1542082096569.00000,626604.00000,79.00000,3.00836,0.00000
1542082096569.00000,626608.00000,80.00000,2.87904,0.00000
1542082096569.00000,626612.00000,81.00000,2.74678,0.00000
1542082096569.00000,626616.00000,82.00000,2.61170,0.00000
1542082096569.00000,626620.00000,83.00000,2.47395,0.00000
1542082096569.00000,626624.00000,84.00000,2.33366,0.00000
1542082096569.00000,626628.00000,85.00000,2.19099,0.00000
1542082096569.00000,626632.00000,86.00000,2.04607,0.00000
1542082096569.00000,626636.00000,87.00000,1.89906,0.00000
1542082096579.00000,626640.00000,88.00000,1.75010,0.00000
1542082096579.00000,626644.00000,89.00000,1.59935,0.00000
1542082096579.00000,626648.00000,90.00000,1.44697,0.00000
1542082096579.00000,626652.00000,91.00000,1.29310,0.00000
1542082096579.00000,626656.00000,92.00000,1.13790,0.00000
1542082096579.00000,626660.00000,93.00000,0.98155,0.00000
1542082096579.00000,626664.00000,94.00000,0.82418,0.00000
1542082096579.00000,626668.00000,95.00000,0.66598,0.00000
