# egm tm, desired joint, input joint, received joint
1548743.00000,-4.82626,1.19486,-1.98330
1548747.00000,-4.86559,1.42538,-2.03587
1548751.00000,-4.89995,1.65490,-2.08498
1548755.00000,-4.92928,1.87936,-2.13045
1548759.00000,-4.95357,2.09868,-2.17212
1548763.00000,-4.97278,2.31673,-2.20978
1548767.00000,-4.98691,2.44626,-2.24327
1548771.00000,-4.99592,2.56819,-2.27244
1548775.00000,-4.99982,2.68989,-2.29712
1548779.00000,-4.99861,2.79847,-2.31719
1548783.00000,-4.99227,2.90073,-2.33250
1548787.00000,-4.98082,3.01468,-2.34291
1548791.00000,-4.96428,3.12609,-2.34835
1548795.00000,-4.94265,3.23461,-2.34874
1548799.00000,-4.91595,3.34064,-2.34400
1548803.00000,-4.88423,3.44704,-2.33409
1548807.00000,-4.84750,3.55337,-2.31899
1548811.00000,-4.80581,3.65956,-2.29872
1548815.00000,-4.75920,3.76237,-2.27329
1548819.00000,-4.70772,3.86331,-2.24275
1548823.00000,-4.65142,3.96560,-2.20716
1548827.00000,-4.59035,4.06075,-2.16659
1548831.00000,-4.52459,4.15269,-2.12114
1548835.00000,-4.45419,4.24475,-2.07094
1548839.00000,-4.37923,4.33903,-2.01613
1548843.00000,-4.29978,4.42855,-1.95685
1548847.00000,-4.21594,4.51408,-1.89329
1548851.00000,-4.12778,4.59638,-1.82561
1548855.00000,-4.03539,4.68411,-1.75401
1548859.00000,-3.93887,4.77269,-1.67867
1548863.00000,-3.83831,4.85692,-1.59977
1548867.00000,-3.73383,4.91981,-1.51749
1548871.00000,-3.62552,4.97682,-1.43201
1548875.00000,-3.51350,5.03561,-1.34350
1548879.00000,-3.39788,5.08846,-1.25213
1548883.00000,-3.27879,5.13703,-1.15805
1548887.00000,-3.15633,5.20178,-1.06142
1548891.00000,-3.03065,5.25945,-0.96240
1548895.00000,-2.90186,5.31592,-0.86113
1548899.00000,-2.77010,5.36326,-0.75776
1548903.00000,-2.63550,5.40578,-0.65242
1548907.00000,-2.49821,5.44286,-0.54526
1548911.00000,-2.35836,5.47629,-0.43642
1548915.00000,-2.21609,5.50639,-0.32604
1548919.00000,-2.07155,5.52480,-0.21425
1548923.00000,-1.92490,5.54169,-0.10119
1548927.00000,-1.77627,5.55179,0.01298
1548931.00000,-1.62582,5.55619,0.12815
1548935.00000,-1.47371,5.54815,0.24417
1548939.00000,-1.32009,5.53653,0.36091
1548943.00000,-1.16512,5.52449,0.47824
1548947.00000,-1.00895,5.50922,0.59603
1548951.00000,-0.85175,5.48415,0.71415
1548955.00000,-0.69368,5.45128,0.83248
1548959.00000,-0.53490,5.41019,0.95088
1548963.00000,-0.37557,5.36059,1.06923
1548967.00000,-0.21586,5.28534,1.18740
1548971.00000,-0.05593,5.20614,1.30529
1548975.00000,0.10407,5.11854,1.42275
1548979.00000,0.26395,5.02855,1.53967
1548983.00000,0.42357,4.93200,1.65594
1548987.00000,0.58275,4.83207,1.77141
1548991.00000,0.74133,4.72422,1.88598
1548995.00000,0.89916,4.61224,1.99950
1548999.00000,1.05606,4.49792,2.11185
1549003.00000,1.21188,4.38010,2.22291
1549007.00000,1.36646,4.25801,2.33253
1549011.00000,1.51965,4.13542,2.44060
1549015.00000,1.67128,4.01359,2.54698
1549019.00000,1.82119,3.88831,2.65153
1549023.00000,1.96924,3.75418,2.75412
1549027.00000,2.11528,3.62310,2.85461
1549031.00000,2.25915,3.49243,2.95287
1549035.00000,2.40070,3.35815,3.04876
1549039.00000,2.53980,3.22396,3.14213
1549043.00000,2.67630,3.09448,3.23286
1549047.00000,2.81005,2.96275,3.32080
1549051.00000,2.94093,2.82770,3.40582
1549055.00000,3.06880,2.69612,3.48780
1549059.00000,3.19353,2.56626,3.56661
1549063.00000,3.31498,2.43625,3.64214
1549067.00000,3.43305,2.30581,3.71428
1549071.00000,3.54759,2.17823,3.78290
1549075.00000,3.65851,2.04826,3.84792
1549079.00000,3.76568,1.92232,3.90926
1549083.00000,3.86899,1.79560,3.96682
1549087.00000,3.96834,1.61785,4.02055
1549091.00000,4.06363,1.44194,4.07039
1549095.00000,4.15475,1.26064,4.11628
1549099.00000,4.24163,1.07528,4.15817
1549103.00000,4.32416,0.89230,4.19603
1549107.00000,4.40226,0.70997,4.22980
1549111.00000,4.47585,0.52435,4.25948
1549115.00000,4.54487,0.34027,4.28504
1549119.00000,4.60923,0.15984,4.30649
1549123.00000,4.66886,-0.02840,4.32382
1549127.00000,4.72372,-0.21811,4.33704
1549131.00000,4.77375,-0.40929,4.34614
1549135.00000,4.81888,-0.60198,4.35111
1549139.00000,4.85908,-0.79444,4.35197
1549143.00000,4.89430,-0.98471,4.34871
1549147.00000,4.92452,-1.17421,4.34134
1549151.00000,4.94969,-1.36428,4.32988
1549155.00000,4.96979,-1.55217,4.31435
1549159.00000,4.98480,-1.73707,4.29475
1549163.00000,4.99472,-1.92620,4.27109
1549167.00000,4.99951,-2.05784,4.24335
1549171.00000,4.99919,-2.18902,4.21152
1549175.00000,4.99375,-2.32005,4.17562
1549179.00000,4.98319,-2.44215,4.13564
1549183.00000,4.96753,-2.56142,4.09159
1549187.00000,4.94679,-2.73555,4.04346
1549191.00000,4.92098,-2.90390,3.99130
1549195.00000,4.89014,-3.06624,3.93512
1549199.00000,4.85428,-3.23502,3.87496
1549203.00000,4.81346,-3.40316,3.81084
1549207.00000,4.76770,-3.56600,3.74279
1549211.00000,4.71707,-3.72201,3.67090
1549215.00000,4.66160,-3.87092,3.59521
1549219.00000,4.60137,-4.02310,3.51582
1549223.00000,4.53642,-4.17304,3.43278
1549227.00000,4.46682,-4.32118,3.34620
