# egm tm, desired joint, input joint, received joint
742577.00000,2.64450,2.33033,2.26392
742581.00000,2.63995,2.32474,2.28129
742585.00000,2.63536,2.30857,2.29784
742589.00000,2.63073,2.29840,2.31360
742593.00000,2.62608,2.29522,2.32858
742597.00000,2.62139,2.33037,2.34278
742601.00000,2.61667,2.32722,2.35621
742605.00000,2.61191,2.31095,2.36890
742609.00000,2.60713,2.28763,2.38085
742613.00000,2.60231,2.27013,2.39208
742617.00000,2.59745,2.26060,2.40261
742621.00000,2.59256,2.26669,2.41244
742625.00000,2.58764,2.27628,2.42160
742629.00000,2.58269,2.25230,2.43010
742633.00000,2.57770,2.25863,2.43796
742637.00000,2.57268,2.22919,2.44520
742641.00000,2.56762,2.19820,2.45183
742645.00000,2.56253,2.23097,2.45788
742649.00000,2.55741,2.20868,2.46335
742653.00000,2.55225,2.20284,2.46827
742657.00000,2.54706,2.21063,2.47265
742661.00000,2.54184,2.17959,2.47651
742665.00000,2.53658,2.19281,2.47985
742669.00000,2.53129,2.17401,2.48270
742673.00000,2.52596,2.19292,2.48506
742677.00000,2.52060,2.16338,2.48697
742681.00000,2.51520,2.16010,2.48843
742685.00000,2.50978,2.14026,2.48945
742689.00000,2.50431,2.12766,2.49004
742693.00000,2.49882,2.12289,2.49022
742697.00000,2.49328,2.15638,2.49000
742701.00000,2.48772,2.15441,2.48939
742705.00000,2.48212,2.13510,2.48841
742709.00000,2.47649,2.11426,2.48706
742713.00000,2.47082,2.09217,2.48536
742717.00000,2.46511,2.08222,2.48333
742721.00000,2.45938,2.09123,2.48097
742725.00000,2.45360,2.09637,2.47829
742729.00000,2.44780,2.07462,2.47531
742733.00000,2.44196,2.07643,2.47203
742737.00000,2.43608,2.04824,2.46847
742741.00000,2.43017,2.01529,2.46465
742745.00000,2.42423,2.05076,2.46058
742749.00000,2.41825,2.02332,2.45626
742753.00000,2.41223,2.01965,2.45172
742757.00000,2.40618,2.02519,2.44695
742761.00000,2.40010,1.99419,2.44197
742765.00000,2.39398,2.00826,2.43678
742769.00000,2.38783,1.98933,2.43140
742773.00000,2.38164,2.00520,2.42583
742777.00000,2.37541,1.97550,2.42009
742781.00000,2.36916,1.97544,2.41417
742785.00000,2.36286,1.95042,2.40809
742789.00000,2.35653,1.93558,2.40185
742793.00000,2.35017,1.92900,2.39545
742797.00000,2.34377,1.96096,2.38890
742801.00000,2.33734,1.96046,2.38221
742805.00000,2.33087,1.93766,2.37537
742809.00000,2.32437,1.91972,2.36840
742813.00000,2.31783,1.89291,2.36131
742817.00000,2.31126,1.88257,2.35409
742821.00000,2.30465,1.89491,2.34675
742825.00000,2.29800,1.89503,2.33929
742829.00000,2.29132,1.87578,2.33174
742833.00000,2.28461,1.87299,2.32408
742837.00000,2.27786,1.84599,2.31633
742841.00000,2.27107,1.81112,2.30849
742845.00000,2.26425,1.84945,2.30059
742849.00000,2.25740,1.81675,2.29261
742853.00000,2.25051,1.81562,2.28457
742857.00000,2.24358,1.81880,2.27648
742861.00000,2.23662,1.78763,2.26832
742865.00000,2.22963,1.80285,2.26011
742869.00000,2.22259,1.78395,2.25186
742873.00000,2.21553,1.79663,2.24355
742877.00000,2.20842,1.76678,2.23521
742881.00000,2.20129,1.77041,2.22683
742885.00000,2.19411,1.73988,2.21841
742889.00000,2.18691,1.72578,2.20995
742893.00000,2.17966,1.71709,2.20146
