# egm tm, desired joint, input joint, received joint
634301.00000,2.99384,2.88716,0.00000
634305.00000,2.99333,2.88620,0.00000
634309.00000,2.99279,2.92379,0.00000
634313.00000,2.99224,2.91559,0.00000
634317.00000,2.99166,2.90899,0.00000
634321.00000,2.99106,2.88032,0.00000
634325.00000,2.99044,2.89109,0.00000
634329.00000,2.98980,2.87883,0.00000
634333.00000,2.98914,2.88061,0.00000
634337.00000,2.98845,2.89096,0.00000
634341.00000,2.98774,2.87218,0.00000
634345.00000,2.98701,2.89086,0.00000
634349.00000,2.98626,2.85933,0.00000
634353.00000,2.98549,2.83987,0.00000
634357.00000,2.98469,2.85807,0.00000
634361.00000,2.98387,2.85093,0.00000
634365.00000,2.98303,2.85157,0.00000
634369.00000,2.98216,2.86326,0.00000
634373.00000,2.98127,2.83125,0.00000
634377.00000,2.98036,2.84259,0.00000
634381.00000,2.97943,2.83188,0.00000
634385.00000,2.97847,2.86847,0.00000
634389.00000,2.97749,2.83980,0.00000
634393.00000,2.97649,2.82968,0.00000
634397.00000,2.97547,2.82381,0.00000
634401.00000,2.97442,2.83607,0.00000
634405.00000,2.97334,2.83530,0.00000
634409.00000,2.97225,2.87180,0.00000
634413.00000,2.97113,2.86399,0.00000
634417.00000,2.96998,2.85672,0.00000
634421.00000,2.96882,2.82836,0.00000
634425.00000,2.96762,2.83556,0.00000
634429.00000,2.96641,2.82332,0.00000
634433.00000,2.96517,2.82505,0.00000
634437.00000,2.96390,2.83606,0.00000
634441.00000,2.96262,2.81678,0.00000
634445.00000,2.96130,2.83314,0.00000
634449.00000,2.95997,2.80215,0.00000
634453.00000,2.95860,2.78159,0.00000
634457.00000,2.95722,2.80144,0.00000
634461.00000,2.95581,2.79222,0.00000
634465.00000,2.95437,2.79163,0.00000
634469.00000,2.95291,2.80290,0.00000
634473.00000,2.95142,2.77129,0.00000
634477.00000,2.94991,2.78253,0.00000
634481.00000,2.94838,2.77046,0.00000
634485.00000,2.94682,2.80466,0.00000
634489.00000,2.94523,2.77625,0.00000
634493.00000,2.94362,2.76650,0.00000
634497.00000,2.94198,2.75904,0.00000
634501.00000,2.94032,2.76799,0.00000
634505.00000,2.93863,2.76730,0.00000
634509.00000,2.93691,2.80285,0.00000
634513.00000,2.93517,2.79553,0.00000
634517.00000,2.93340,2.78726,0.00000
634521.00000,2.93161,2.75936,0.00000
634525.00000,2.92979,2.76274,0.00000
634529.00000,2.92795,2.75059,0.00000
634533.00000,2.92608,2.75240,0.00000
634537.00000,2.92418,2.76398,0.00000
634541.00000,2.92226,2.74413,0.00000
634545.00000,2.92031,2.75813,0.00000
634549.00000,2.91833,2.72749,0.00000
634553.00000,2.91632,2.70581,0.00000
634557.00000,2.91429,2.72759,0.00000
634561.00000,2.91224,2.71615,0.00000
634565.00000,2.91015,2.71436,0.00000
634569.00000,2.90804,2.72513,0.00000
634573.00000,2.90590,2.69378,0.00000
634577.00000,2.90373,2.70508,0.00000
634581.00000,2.90154,2.69151,0.00007
634585.00000,2.89932,2.72307,0.00047
634589.00000,2.89707,2.69496,0.00165
634593.00000,2.89480,2.68576,0.00399
634597.00000,2.89249,2.67640,0.00760
634601.00000,2.89016,2.68184,0.01248
634605.00000,2.88780,2.68106,0.01860
634609.00000,2.88542,2.71590,0.02588
634613.00000,2.88300,2.70933,0.03413
634617.00000,2.88056,2.69973,0.04328
634621.00000,2.87809,2.67250,0.05356
634625.00000,2.87559,2.67157,0.06538
634629.00000,2.87306,2.65975,0.07911
634633.00000,2.87051,2.66183,0.09488
634637.00000,2.86792,2.67383,0.11268
634641.00000,2.86531,2.65328,0.13242
634645.00000,2.86267,2.66501,0.15409
634649.00000,2.86000,2.63458,0.17769
634653.00000,2.85730,2.61153,0.20326
634657.00000,2.85457,2.63563,0.23084
634661.00000,2.85182,2.62192,0.26054
634665.00000,2.84903,2.61880,0.29242
634669.00000,2.84622,2.62910,0.32640
634673.00000,2.84337,2.59781,0.36228
634677.00000,2.84050,2.60940,0.39984
634681.00000,2.83760,2.59432,0.43887
634685.00000,2.83466,2.62291,0.47916
