# wall time,egm tm, egm seqno, input joint, received joint
1542074112915.00000,1556271.00000,34.00000,2.98914,0.00000
1542074112915.00000,1556275.00000,35.00000,2.98845,0.00000
1542074112916.00000,1556279.00000,36.00000,2.98774,0.00000
1542074112916.00000,1556283.00000,37.00000,2.98701,0.00000
1542074112917.00000,1556287.00000,38.00000,2.98626,0.00000
1542074112917.00000,1556291.00000,39.00000,2.98549,0.00000
1542074112918.00000,1556295.00000,40.00000,2.98469,0.00000
1542074112918.00000,1556299.00000,41.00000,2.98387,0.00000
1542074112919.00000,1556303.00000,42.00000,2.98303,0.00000
1542074112919.00000,1556307.00000,43.00000,2.98216,0.00000
1542074112920.00000,1556311.00000,44.00000,2.98127,0.00000
1542074112920.00000,1556315.00000,45.00000,2.98036,0.00000
1542074112920.00000,1556319.00000,46.00000,2.97943,0.00000
1542074112921.00000,1556323.00000,47.00000,2.97847,0.00000
1542074112921.00000,1556327.00000,48.00000,2.97749,0.00000
1542074112922.00000,1556331.00000,49.00000,2.97649,0.00000
1542074112922.00000,1556335.00000,50.00000,2.97547,0.00000
1542074112923.00000,1556339.00000,51.00000,2.97442,0.00000
1542074112923.00000,1556343.00000,52.00000,2.97334,0.00000
1542074112923.00000,1556347.00000,53.00000,2.97225,0.00000
1542074112924.00000,1556351.00000,54.00000,2.97113,0.00000
1542074112924.00000,1556355.00000,55.00000,2.96998,0.00000
1542074112925.00000,1556359.00000,56.00000,2.96882,0.00000
1542074112925.00000,1556363.00000,57.00000,2.96762,0.00000
1542074112926.00000,1556367.00000,58.00000,2.96641,0.00000
1542074112926.00000,1556371.00000,59.00000,2.96517,0.00000
1542074112926.00000,1556375.00000,60.00000,2.96390,0.00000
1542074112927.00000,1556379.00000,61.00000,2.96262,0.00000
1542074112927.00000,1556383.00000,62.00000,2.96130,0.00000
1542074112928.00000,1556387.00000,63.00000,2.95997,0.00000
1542074112928.00000,1556391.00000,64.00000,2.95860,0.00000
1542074112929.00000,1556395.00000,65.00000,2.95722,0.00000
1542074112929.00000,1556399.00000,66.00000,2.95581,0.00000
1542074112930.00000,1556403.00000,67.00000,2.95437,0.00000
1542074112930.00000,1556407.00000,68.00000,2.95291,0.00000
1542074112930.00000,1556411.00000,69.00000,2.95142,0.00000
1542074112930.00000,1556415.00000,70.00000,2.94991,0.00000
1542074112930.00000,1556419.00000,71.00000,2.94838,0.00000
1542074112930.00000,1556423.00000,72.00000,2.94682,0.00000
1542074112930.00000,1556427.00000,73.00000,2.94523,0.00000
1542074112930.00000,1556431.00000,74.00000,2.94362,0.00000
1542074112930.00000,1556435.00000,75.00000,2.94198,0.00000
1542074112930.00000,1556439.00000,76.00000,2.94032,0.00000
1542074112930.00000,1556443.00000,77.00000,2.93863,0.00000
1542074112930.00000,1556447.00000,78.00000,2.93691,0.00000
1542074112930.00000,1556451.00000,79.00000,2.93517,0.00000
1542074112930.00000,1556455.00000,80.00000,2.93340,0.00000
1542074112930.00000,1556459.00000,81.00000,2.93161,0.00000
1542074112930.00000,1556463.00000,82.00000,2.92979,0.00000
1542074112930.00000,1556467.00000,83.00000,2.92795,0.00000
1542074112930.00000,1556471.00000,84.00000,2.92608,0.00000
1542074112930.00000,1556475.00000,85.00000,2.92418,0.00000
1542074112930.00000,1556479.00000,86.00000,2.92226,0.00000
1542074112930.00000,1556483.00000,87.00000,2.92031,0.00000
1542074112930.00000,1556487.00000,88.00000,2.91833,0.00000
1542074112930.00000,1556491.00000,89.00000,2.91632,0.00000
1542074112930.00000,1556495.00000,90.00000,2.91429,0.00000
1542074112930.00000,1556499.00000,91.00000,2.91224,0.00000
1542074112940.00000,1556503.00000,92.00000,2.91015,0.00000
1542074112940.00000,1556507.00000,93.00000,2.90804,0.00000
1542074112940.00000,1556511.00000,94.00000,2.90590,0.00000
1542074112940.00000,1556515.00000,95.00000,2.90373,0.00000
1542074112940.00000,1556519.00000,96.00000,2.90154,0.00000
1542074112940.00000,1556523.00000,97.00000,2.89932,0.00000
1542074112940.00000,1556527.00000,98.00000,2.89707,0.00000
1542074112940.00000,1556531.00000,99.00000,2.89480,0.00000
1542074112940.00000,1556535.00000,100.00000,2.89249,0.00000
1542074112940.00000,1556539.00000,101.00000,2.89016,0.00000
1542074112940.00000,1556543.00000,102.00000,2.88780,0.00000
1542074112940.00000,1556547.00000,103.00000,2.88542,0.00000
1542074112940.00000,1556551.00000,104.00000,2.88300,0.00000
1542074112940.00000,1556555.00000,105.00000,2.88056,0.00000
1542074112940.00000,1556559.00000,106.00000,2.87809,0.00000
1542074112940.00000,1556563.00000,107.00000,2.87559,0.00000
1542074112940.00000,1556567.00000,108.00000,2.87306,0.00000
1542074112940.00000,1556571.00000,109.00000,2.87051,0.00000
1542074112940.00000,1556575.00000,110.00000,2.86792,0.00000
1542074112940.00000,1556579.00000,111.00000,2.86531,0.00000
1542074112940.00000,1556583.00000,112.00000,2.86267,0.00000
1542074112940.00000,1556587.00000,113.00000,2.86000,0.00010
1542074112950.00000,1556591.00000,114.00000,2.85730,0.00065
1542074112950.00000,1556595.00000,115.00000,2.85457,0.00219
1542074112970.00000,1556599.00000,116.00000,2.85182,0.00515
1542074112970.00000,1556603.00000,117.00000,2.84903,0.00972
1542074112970.00000,1556607.00000,118.00000,2.84622,0.01594
1542074112990.00000,1556611.00000,119.00000,2.84337,0.02378
1542074112990.00000,1556615.00000,120.00000,2.84050,0.03306
1542074113010.00000,1556619.00000,121.00000,2.83760,0.04347
1542074113010.00000,1556623.00000,122.00000,2.83466,0.05488
1542074113010.00000,1556627.00000,123.00000,2.83170,0.06743
1542074113030.00000,1556631.00000,124.00000,2.82871,0.08148
1542074113030.00000,1556635.00000,125.00000,2.82569,0.09736
1542074113050.00000,1556639.00000,126.00000,2.82264,0.11513
1542074113050.00000,1556643.00000,127.00000,2.81956,0.13467
1542074113050.00000,1556647.00000,128.00000,2.81645,0.15580
1542074113070.00000,1556651.00000,129.00000,2.81331,0.17847
1542074113070.00000,1556655.00000,130.00000,2.81014,0.20272
1542074113090.00000,1556659.00000,131.00000,2.80694,0.22863
1542074113090.00000,1556663.00000,132.00000,2.80371,0.25636
1542074113090.00000,1556667.00000,133.00000,2.80046,0.28619
1542074113110.00000,1556671.00000,134.00000,2.79717,0.31833
1542074113110.00000,1556675.00000,135.00000,2.79384,0.35279
1542074113130.00000,1556679.00000,136.00000,2.79049,0.38941
1542074113130.00000,1556683.00000,137.00000,2.78711,0.42794
1542074113130.00000,1556687.00000,138.00000,2.78370,0.46816
1542074113150.00000,1556691.00000,139.00000,2.78026,0.50988
1542074113150.00000,1556695.00000,140.00000,2.77678,0.55290
1542074113170.00000,1556699.00000,141.00000,2.77328,0.59704
1542074113170.00000,1556703.00000,142.00000,2.76975,0.64213
1542074113170.00000,1556707.00000,143.00000,2.76618,0.68801
1542074113190.00000,1556711.00000,144.00000,2.76258,0.73455
1542074113200.00000,1556715.00000,145.00000,2.75896,0.78158
1542074113210.00000,1556719.00000,146.00000,2.75530,0.82899
1542074113210.00000,1556723.00000,147.00000,2.75161,0.87666
1542074113210.00000,1556727.00000,148.00000,2.74788,0.92451
1542074113233.00000,1556731.00000,149.00000,2.74413,0.97248
1542074113234.00000,1556735.00000,150.00000,2.74035,1.02055
1542074113247.00000,1556739.00000,151.00000,2.73653,1.06871
1542074113247.00000,1556743.00000,152.00000,2.73268,1.11693
1542074113247.00000,1556747.00000,153.00000,2.72881,1.16519
1542074113267.00000,1556751.00000,154.00000,2.72490,1.21341
1542074113267.00000,1556755.00000,155.00000,2.72095,1.26154
1542074113287.00000,1556759.00000,156.00000,2.71698,1.30950
1542074113287.00000,1556763.00000,157.00000,2.71297,1.35720
1542074113287.00000,1556767.00000,158.00000,2.70894,1.40457
1542074113307.00000,1556771.00000,159.00000,2.70487,1.45155
1542074113307.00000,1556775.00000,160.00000,2.70077,1.49808
1542074113327.00000,1556779.00000,161.00000,2.69663,1.54412
