# wall time,egm tm, egm seqno, input joint, received joint
1542077926833.00000,710113.00000,160.00000,2.70077,3.23142
1542077926834.00000,710117.00000,161.00000,2.69663,3.29280
1542077926847.00000,710121.00000,162.00000,2.69247,3.34966
1542077926847.00000,710125.00000,163.00000,2.68827,3.40219
1542077926859.00000,710129.00000,164.00000,2.68404,3.45058
1542077926861.00000,710133.00000,165.00000,2.67977,3.49500
1542077926861.00000,710137.00000,166.00000,2.67548,3.53560
1542077926874.00000,710141.00000,167.00000,2.67115,3.57255
1542077926875.00000,710145.00000,168.00000,2.66679,3.60600
1542077926887.00000,710149.00000,169.00000,2.66240,3.63608
1542077926888.00000,710153.00000,170.00000,2.65797,3.66296
1542077926890.00000,710157.00000,171.00000,2.65352,3.68675
1542077926907.00000,710161.00000,172.00000,2.64903,3.70762
1542077926907.00000,710165.00000,173.00000,2.64450,3.72568
1542077926927.00000,710169.00000,174.00000,2.63995,3.74106
1542077926927.00000,710173.00000,175.00000,2.63536,3.75390
1542077926927.00000,710177.00000,176.00000,2.63073,3.76431
1542077926947.00000,710181.00000,177.00000,2.62608,3.77242
1542077926947.00000,710185.00000,178.00000,2.62139,3.77835
1542077926967.00000,710189.00000,179.00000,2.61667,3.78221
1542077926967.00000,710193.00000,180.00000,2.61191,3.78410
1542077926967.00000,710197.00000,181.00000,2.60713,3.78413
1542077926987.00000,710201.00000,182.00000,2.60231,3.78241
1542077926987.00000,710205.00000,183.00000,2.59745,3.77904
1542077927007.00000,710209.00000,184.00000,2.59256,3.77411
1542077927007.00000,710213.00000,185.00000,2.58764,3.76772
1542077927007.00000,710217.00000,186.00000,2.58269,3.75995
1542077927027.00000,710221.00000,187.00000,2.57770,3.75089
1542077927027.00000,710225.00000,188.00000,2.57268,3.74063
1542077927047.00000,710229.00000,189.00000,2.56762,3.72925
1542077927047.00000,710233.00000,190.00000,2.56253,3.71681
1542077927047.00000,710237.00000,191.00000,2.55741,3.70341
1542077927077.00000,710241.00000,192.00000,2.55225,3.68910
1542077927077.00000,710245.00000,193.00000,2.54706,3.67396
1542077927097.00000,710249.00000,194.00000,2.54184,3.65806
1542077927097.00000,710253.00000,195.00000,2.53658,3.64144
1542077927097.00000,710257.00000,196.00000,2.53129,3.62419
1542077927117.00000,710261.00000,197.00000,2.52596,3.60635
1542077927117.00000,710265.00000,198.00000,2.52060,3.58798
1542077927137.00000,710269.00000,199.00000,2.51520,3.56913
1542077927137.00000,710273.00000,200.00000,2.50978,3.54986
1542077927137.00000,710277.00000,201.00000,2.50431,3.53020
1542077927157.00000,710281.00000,202.00000,2.49882,3.51021
1542077927157.00000,710285.00000,203.00000,2.49328,3.48993
1542077927177.00000,710289.00000,204.00000,2.48772,3.46940
1542077927177.00000,710293.00000,205.00000,2.48212,3.44866
1542077927187.00000,710297.00000,206.00000,2.47649,3.42774
1542077927207.00000,710301.00000,207.00000,2.47082,3.40669
1542077927207.00000,710305.00000,208.00000,2.46511,3.38553
1542077927229.00000,710309.00000,209.00000,2.45938,3.36430
1542077927233.00000,710313.00000,210.00000,2.45360,3.34302
1542077927234.00000,710317.00000,211.00000,2.44780,3.32173
1542077927245.00000,710321.00000,212.00000,2.44196,3.30045
1542077927245.00000,710325.00000,213.00000,2.43608,3.27920
1542077927265.00000,710329.00000,214.00000,2.43017,3.25801
1542077927265.00000,710333.00000,215.00000,2.42423,3.23689
1542077927265.00000,710337.00000,216.00000,2.41825,3.21588
1542077927285.00000,710341.00000,217.00000,2.41223,3.19498
1542077927285.00000,710345.00000,218.00000,2.40618,3.17422
1542077927305.00000,710349.00000,219.00000,2.40010,3.15361
1542077927305.00000,710353.00000,220.00000,2.39398,3.13316
1542077927305.00000,710357.00000,221.00000,2.38783,3.11290
1542077927325.00000,710361.00000,222.00000,2.38164,3.09282
1542077927325.00000,710365.00000,223.00000,2.37541,3.07295
1542077927345.00000,710369.00000,224.00000,2.36916,3.05329
1542077927345.00000,710373.00000,225.00000,2.36286,3.03385
1542077927345.00000,710377.00000,226.00000,2.35653,3.01465
1542077927365.00000,710381.00000,227.00000,2.35017,2.99568
1542077927365.00000,710385.00000,228.00000,2.34377,2.97696
1542077927385.00000,710389.00000,229.00000,2.33734,2.95849
1542077927385.00000,710393.00000,230.00000,2.33087,2.94027
1542077927385.00000,710397.00000,231.00000,2.32437,2.92231
1542077927405.00000,710401.00000,232.00000,2.31783,2.90462
1542077927405.00000,710405.00000,233.00000,2.31126,2.88719
