# egm tm, desired joint, input joint, received joint
2041795.00000,2.99384,2.88716,0.00000
2041799.00000,2.99333,2.88620,0.00000
2041803.00000,2.99279,2.92379,0.00000
2041807.00000,2.99224,2.91559,0.00000
2041811.00000,2.99166,2.90899,0.00000
2041815.00000,2.99106,2.88032,0.00000
2041819.00000,2.99044,2.89109,0.00000
2041823.00000,2.98980,2.87883,0.00000
2041827.00000,2.98914,2.88061,0.00000
2041831.00000,2.98845,2.89096,0.00000
2041835.00000,2.98774,2.87218,0.00000
2041839.00000,2.98701,2.89086,0.00000
2041843.00000,2.98626,2.85933,0.00000
2041847.00000,2.98549,2.83987,0.00000
2041851.00000,2.98469,2.85807,0.00000
2041855.00000,2.98387,2.85093,0.00000
2041859.00000,2.98303,2.85157,0.00000
2041863.00000,2.98216,2.86326,0.00000
2041867.00000,2.98127,2.83125,0.00000
2041871.00000,2.98036,2.84259,0.00000
2041875.00000,2.97943,2.83188,0.00000
2041879.00000,2.97847,2.86847,0.00000
2041883.00000,2.97749,2.83980,0.00000
2041887.00000,2.97649,2.82968,0.00000
2041891.00000,2.97547,2.82381,0.00000
2041895.00000,2.97442,2.83607,0.00000
2041899.00000,2.97334,2.83530,0.00000
2041903.00000,2.97225,2.87180,0.00000
2041907.00000,2.97113,2.86399,0.00000
2041911.00000,2.96998,2.85672,0.00000
2041915.00000,2.96882,2.82836,0.00000
2041919.00000,2.96762,2.83556,0.00000
2041923.00000,2.96641,2.82332,0.00000
2041927.00000,2.96517,2.82505,0.00000
2041931.00000,2.96390,2.83606,0.00000
2041935.00000,2.96262,2.81678,0.00000
2041939.00000,2.96130,2.83314,0.00000
2041943.00000,2.95997,2.80215,0.00000
2041947.00000,2.95860,2.78159,0.00000
2041951.00000,2.95722,2.80144,0.00000
2041955.00000,2.95581,2.79222,0.00000
2041959.00000,2.95437,2.79163,0.00000
2041963.00000,2.95291,2.80290,0.00000
2041967.00000,2.95142,2.77129,0.00000
2041971.00000,2.94991,2.78253,0.00000
2041975.00000,2.94838,2.77046,0.00000
2041979.00000,2.94682,2.80466,0.00000
2041983.00000,2.94523,2.77625,0.00000
2041987.00000,2.94362,2.76650,0.00000
2041991.00000,2.94198,2.75904,0.00000
2041995.00000,2.94032,2.76799,0.00000
2041999.00000,2.93863,2.76730,0.00000
2042003.00000,2.93691,2.80285,0.00000
2042007.00000,2.93517,2.79553,0.00000
2042011.00000,2.93340,2.78726,0.00000
2042015.00000,2.93161,2.75936,0.00000
2042019.00000,2.92979,2.76274,0.00000
2042023.00000,2.92795,2.75059,0.00000
2042027.00000,2.92608,2.75240,0.00000
2042031.00000,2.92418,2.76398,0.00000
2042035.00000,2.92226,2.74413,0.00000
2042039.00000,2.92031,2.75813,0.00000
2042043.00000,2.91833,2.72749,0.00000
2042047.00000,2.91632,2.70581,0.00000
2042051.00000,2.91429,2.72759,0.00000
2042055.00000,2.91224,2.71615,0.00000
2042059.00000,2.91015,2.71436,0.00000
2042063.00000,2.90804,2.72513,0.00000
2042067.00000,2.90590,2.69378,0.00000
2042071.00000,2.90373,2.70508,0.00000
2042075.00000,2.90154,2.69151,0.00000
2042079.00000,2.89932,2.72307,0.00010
2042083.00000,2.89707,2.69496,0.00064
2042087.00000,2.89480,2.68576,0.00213
2042091.00000,2.89249,2.67640,0.00501
2042095.00000,2.89016,2.68184,0.00945
2042099.00000,2.88780,2.68106,0.01546
2042103.00000,2.88542,2.71590,0.02299
2042107.00000,2.88300,2.70933,0.03186
2042111.00000,2.88056,2.69973,0.04174
2042115.00000,2.87809,2.67250,0.05251
2042119.00000,2.87559,2.67157,0.06431
2042123.00000,2.87306,2.65975,0.07753
2042127.00000,2.87051,2.66183,0.09248
2042131.00000,2.86792,2.67383,0.10923
2042135.00000,2.86531,2.65328,0.12766
2042139.00000,2.86267,2.66501,0.14757
2042143.00000,2.86000,2.63458,0.16890
2042147.00000,2.85730,2.61153,0.19169
2042151.00000,2.85457,2.63563,0.21604
2042155.00000,2.85182,2.62192,0.24212
2042159.00000,2.84903,2.61880,0.27022
