# wall time,egm tm, egm seqno, input joint, received joint
1542081471589.00000,1466783.00000,75.00000,3.49355,-0.00000
1542081471589.00000,1466787.00000,76.00000,3.37732,-0.00000
1542081471599.00000,1466791.00000,77.00000,3.25762,-0.00000
1542081471599.00000,1466795.00000,78.00000,3.13460,-0.00000
1542081471599.00000,1466799.00000,79.00000,3.00836,-0.00000
1542081471599.00000,1466803.00000,80.00000,2.87904,-0.00000
1542081471599.00000,1466807.00000,81.00000,2.74678,-0.00000
1542081471599.00000,1466811.00000,82.00000,2.61170,-0.00000
1542081471599.00000,1466815.00000,83.00000,2.47395,-0.00000
1542081471599.00000,1466819.00000,84.00000,2.33366,-0.00000
1542081471599.00000,1466823.00000,85.00000,2.19099,-0.00000
1542081471599.00000,1466827.00000,86.00000,2.04607,-0.00000
1542081471599.00000,1466831.00000,87.00000,1.89906,-0.00000
1542081471599.00000,1466835.00000,88.00000,1.75010,-0.00000
1542081471599.00000,1466839.00000,89.00000,1.59935,-0.00000
1542081471599.00000,1466843.00000,90.00000,1.44697,-0.00000
1542081471599.00000,1466847.00000,91.00000,1.29310,-0.00000
1542081471599.00000,1466851.00000,92.00000,1.13790,-0.00000
1542081471599.00000,1466855.00000,93.00000,0.98155,-0.00000
1542081471599.00000,1466859.00000,94.00000,0.82418,-0.00000
1542081471599.00000,1466863.00000,95.00000,0.66598,-0.00000
1542081471599.00000,1466867.00000,96.00000,0.50709,-0.00000
1542081471599.00000,1466871.00000,97.00000,0.34768,-0.00000
1542081471609.00000,1466875.00000,98.00000,0.18792,-0.00000
1542081471609.00000,1466879.00000,99.00000,0.02796,-0.00000
1542081471609.00000,1466883.00000,100.00000,-0.13202,-0.00000
1542081471609.00000,1466887.00000,101.00000,-0.29187,-0.00000
1542081471609.00000,1466891.00000,102.00000,-0.45142,-0.00000
1542081471609.00000,1466895.00000,103.00000,-0.61051,-0.00000
1542081471609.00000,1466899.00000,104.00000,-0.76897,-0.00000
1542081471609.00000,1466903.00000,105.00000,-0.92665,-0.00000
1542081471609.00000,1466907.00000,106.00000,-1.08338,-0.00000
1542081471609.00000,1466911.00000,107.00000,-1.23899,-0.00000
1542081471609.00000,1466915.00000,108.00000,-1.39334,-0.00000
1542081471609.00000,1466919.00000,109.00000,-1.54626,-0.00000
1542081471620.00000,1466923.00000,110.00000,-1.69760,-0.00000
1542081471620.00000,1466927.00000,111.00000,-1.84720,-0.00000
1542081471620.00000,1466931.00000,112.00000,-1.99491,0.00006
1542081471640.00000,1466935.00000,113.00000,-2.14058,0.00046
1542081471640.00000,1466939.00000,114.00000,-2.28406,0.00168
1542081471660.00000,1466943.00000,115.00000,-2.42519,0.00419
1542081471660.00000,1466947.00000,116.00000,-2.56385,0.00836
1542081471660.00000,1466951.00000,117.00000,-2.69987,0.01455
1542081471679.00000,1466955.00000,118.00000,-2.83314,0.02298
1542081471679.00000,1466959.00000,119.00000,-2.96350,0.03343
1542081471700.00000,1466963.00000,120.00000,-3.09083,0.04540
1542081471700.00000,1466967.00000,121.00000,-3.21499,0.05847
1542081471700.00000,1466971.00000,122.00000,-3.33587,0.07235
1542081471720.00000,1466975.00000,123.00000,-3.45332,0.08663
1542081471720.00000,1466979.00000,124.00000,-3.56724,0.10086
1542081471739.00000,1466983.00000,125.00000,-3.67751,0.11466
1542081471739.00000,1466987.00000,126.00000,-3.78401,0.12751
1542081471739.00000,1466991.00000,127.00000,-3.88664,0.13860
1542081471760.00000,1466995.00000,128.00000,-3.98529,0.14706
1542081471760.00000,1466999.00000,129.00000,-4.07986,0.15215
1542081471782.00000,1467003.00000,130.00000,-4.17025,0.15331
1542081471782.00000,1467007.00000,131.00000,-4.25637,0.15014
1542081471784.00000,1467011.00000,132.00000,-4.33813,0.14249
1542081471799.00000,1467015.00000,133.00000,-4.41545,0.13043
1542081471803.00000,1467019.00000,134.00000,-4.48825,0.11410
1542081471816.00000,1467023.00000,135.00000,-4.55645,0.09364
1542081471816.00000,1467027.00000,136.00000,-4.61999,0.06918
1542081471817.00000,1467031.00000,137.00000,-4.67880,0.04083
1542081471829.00000,1467035.00000,138.00000,-4.73282,0.00871
1542081471830.00000,1467039.00000,139.00000,-4.78199,-0.02707
1542081471842.00000,1467043.00000,140.00000,-4.82626,-0.06639
1542081471844.00000,1467047.00000,141.00000,-4.86559,-0.10913
1542081471845.00000,1467051.00000,142.00000,-4.89995,-0.15521
1542081471856.00000,1467055.00000,143.00000,-4.92928,-0.20451
1542081471858.00000,1467059.00000,144.00000,-4.95357,-0.25690
1542081471871.00000,1467063.00000,145.00000,-4.97278,-0.31227
1542081471872.00000,1467067.00000,146.00000,-4.98691,-0.37050
1542081471873.00000,1467071.00000,147.00000,-4.99592,-0.43146
1542081471885.00000,1467075.00000,148.00000,-4.99982,-0.49500
1542081471886.00000,1467079.00000,149.00000,-4.99861,-0.56100
1542081471900.00000,1467083.00000,150.00000,-4.99227,-0.62932
1542081471901.00000,1467087.00000,151.00000,-4.98082,-0.69981
1542081471902.00000,1467091.00000,152.00000,-4.96428,-0.77234
1542081471915.00000,1467095.00000,153.00000,-4.94265,-0.84674
1542081471915.00000,1467099.00000,154.00000,-4.91595,-0.92288
1542081471927.00000,1467103.00000,155.00000,-4.88423,-1.00060
1542081471929.00000,1467107.00000,156.00000,-4.84750,-1.07975
1542081471930.00000,1467111.00000,157.00000,-4.80581,-1.16018
1542081471941.00000,1467115.00000,158.00000,-4.75920,-1.24173
1542081471941.00000,1467119.00000,159.00000,-4.70772,-1.32426
1542081471961.00000,1467123.00000,160.00000,-4.65142,-1.40761
1542081471961.00000,1467127.00000,161.00000,-4.59035,-1.49163
1542081471961.00000,1467131.00000,162.00000,-4.52459,-1.57617
1542081471981.00000,1467135.00000,163.00000,-4.45419,-1.66107
1542081471981.00000,1467139.00000,164.00000,-4.37923,-1.74618
1542081472001.00000,1467143.00000,165.00000,-4.29978,-1.83134
1542081472001.00000,1467147.00000,166.00000,-4.21594,-1.91641
1542081472001.00000,1467151.00000,167.00000,-4.12778,-2.00123
1542081472021.00000,1467155.00000,168.00000,-4.03539,-2.08565
1542081472021.00000,1467159.00000,169.00000,-3.93887,-2.16953
1542081472041.00000,1467163.00000,170.00000,-3.83831,-2.25272
1542081472041.00000,1467167.00000,171.00000,-3.73383,-2.33508
1542081472041.00000,1467171.00000,172.00000,-3.62552,-2.41645
1542081472061.00000,1467175.00000,173.00000,-3.51350,-2.49670
1542081472061.00000,1467179.00000,174.00000,-3.39788,-2.57570
1542081472081.00000,1467183.00000,175.00000,-3.27879,-2.65330
1542081472081.00000,1467187.00000,176.00000,-3.15633,-2.72937
1542081472081.00000,1467191.00000,177.00000,-3.03065,-2.80380
1542081472101.00000,1467195.00000,178.00000,-2.90186,-2.87645
1542081472101.00000,1467199.00000,179.00000,-2.77010,-2.94720
1542081472121.00000,1467203.00000,180.00000,-2.63550,-3.01593
1542081472121.00000,1467207.00000,181.00000,-2.49821,-3.08252
1542081472121.00000,1467211.00000,182.00000,-2.35836,-3.14686
1542081472141.00000,1467215.00000,183.00000,-2.21609,-3.20884
