# egm tm, desired joint, input joint, received joint
552394.00000,2.63995,2.32474,2.42771
552398.00000,2.63536,2.30857,2.44456
552402.00000,2.63073,2.29840,2.46057
552406.00000,2.62608,2.29522,2.47576
552410.00000,2.62139,2.33037,2.49014
552414.00000,2.61667,2.32722,2.50372
552418.00000,2.61191,2.31095,2.51654
552422.00000,2.60713,2.28763,2.52861
552426.00000,2.60231,2.27013,2.53994
552430.00000,2.59745,2.26060,2.55053
552434.00000,2.59256,2.26669,2.56039
552438.00000,2.58764,2.27628,2.56953
552442.00000,2.58269,2.25230,2.57796
552446.00000,2.57770,2.25863,2.58570
552450.00000,2.57268,2.22919,2.59277
552454.00000,2.56762,2.19820,2.59921
552458.00000,2.56253,2.23097,2.60502
552462.00000,2.55741,2.20868,2.61021
552466.00000,2.55225,2.20284,2.61480
552470.00000,2.54706,2.21063,2.61878
552474.00000,2.54184,2.17959,2.62218
552478.00000,2.53658,2.19281,2.62499
552482.00000,2.53129,2.17401,2.62724
552486.00000,2.52596,2.19292,2.62894
552490.00000,2.52060,2.16338,2.63012
552494.00000,2.51520,2.16010,2.63079
552498.00000,2.50978,2.14026,2.63097
552502.00000,2.50431,2.12766,2.63064
552506.00000,2.49882,2.12289,2.62984
552510.00000,2.49328,2.15638,2.62856
552514.00000,2.48772,2.15441,2.62683
552518.00000,2.48212,2.13510,2.62468
552522.00000,2.47649,2.11426,2.62214
552526.00000,2.47082,2.09217,2.61920
552530.00000,2.46511,2.08222,2.61590
552534.00000,2.45938,2.09123,2.61223
552538.00000,2.45360,2.09637,2.60820
552542.00000,2.44780,2.07462,2.60382
552546.00000,2.44196,2.07643,2.59910
552550.00000,2.43608,2.04824,2.59406
552554.00000,2.43017,2.01529,2.58873
552558.00000,2.42423,2.05076,2.58312
552562.00000,2.41825,2.02332,2.57725
552566.00000,2.41223,2.01965,2.57111
552570.00000,2.40618,2.02519,2.56471
552574.00000,2.40010,1.99419,2.55806
552578.00000,2.39398,2.00826,2.55116
552582.00000,2.38783,1.98933,2.54402
552586.00000,2.38164,2.00520,2.53667
552590.00000,2.37541,1.97550,2.52912
552594.00000,2.36916,1.97544,2.52137
552598.00000,2.36286,1.95042,2.51343
552602.00000,2.35653,1.93558,2.50530
552606.00000,2.35017,1.92900,2.49697
