# wall time,egm tm, egm seqno, input joint, received joint
1542075932763.00000,511202.00000,1.00000,3.00000,-0.00000
1542075932763.00000,511206.00000,2.00000,2.99999,-0.00000
1542075932763.00000,511210.00000,3.00000,2.99996,-0.00000
1542075932763.00000,511214.00000,4.00000,2.99991,-0.00000
1542075932763.00000,511218.00000,5.00000,2.99985,-0.00000
1542075932763.00000,511222.00000,6.00000,2.99976,-0.00000
1542075932763.00000,511226.00000,7.00000,2.99966,-0.00000
1542075932773.00000,511230.00000,8.00000,2.99953,-0.00000
1542075932773.00000,511234.00000,9.00000,2.99939,-0.00000
1542075932773.00000,511238.00000,10.00000,2.99922,-0.00000
1542075932773.00000,511242.00000,11.00000,2.99904,-0.00000
1542075932773.00000,511246.00000,12.00000,2.99883,-0.00000
1542075932773.00000,511250.00000,13.00000,2.99861,-0.00000
1542075932773.00000,511254.00000,14.00000,2.99837,-0.00000
1542075932773.00000,511258.00000,15.00000,2.99810,-0.00000
1542075932773.00000,511262.00000,16.00000,2.99782,-0.00000
1542075932773.00000,511266.00000,17.00000,2.99751,-0.00000
1542075932773.00000,511270.00000,18.00000,2.99719,-0.00000
1542075932773.00000,511274.00000,19.00000,2.99684,-0.00000
1542075932773.00000,511278.00000,20.00000,2.99648,-0.00000
1542075932773.00000,511282.00000,21.00000,2.99609,-0.00000
1542075932773.00000,511286.00000,22.00000,2.99568,-0.00000
1542075932773.00000,511290.00000,23.00000,2.99525,-0.00000
1542075932773.00000,511294.00000,24.00000,2.99480,-0.00000
1542075932773.00000,511298.00000,25.00000,2.99433,-0.00000
1542075932773.00000,511302.00000,26.00000,2.99384,-0.00000
1542075932783.00000,511306.00000,27.00000,2.99333,-0.00000
1542075932784.00000,511310.00000,28.00000,2.99279,-0.00000
1542075932785.00000,511314.00000,29.00000,2.99224,-0.00000
1542075932786.00000,511318.00000,30.00000,2.99166,-0.00000
1542075932786.00000,511322.00000,31.00000,2.99106,-0.00000
1542075932787.00000,511326.00000,32.00000,2.99044,-0.00000
1542075932788.00000,511330.00000,33.00000,2.98980,-0.00000
1542075932789.00000,511334.00000,34.00000,2.98914,-0.00000
