# egm tm, desired joint, input joint, received joint
709308.00000,-4.29978,4.42855,-2.66140
709312.00000,-4.21594,4.51408,-2.62586
709316.00000,-4.12778,4.59638,-2.58600
709320.00000,-4.03539,4.68411,-2.54186
709324.00000,-3.93887,4.77269,-2.49348
709328.00000,-3.83831,4.85692,-2.44088
709332.00000,-3.73383,4.91981,-2.38412
709336.00000,-3.62552,4.97682,-2.32325
709340.00000,-3.51350,5.03561,-2.25835
709344.00000,-3.39788,5.08846,-2.18949
709348.00000,-3.27879,5.13703,-2.11678
709352.00000,-3.15633,5.20178,-2.04035
709356.00000,-3.03065,5.25945,-1.96033
709360.00000,-2.90186,5.31592,-1.87689
709364.00000,-2.77010,5.36326,-1.79013
709368.00000,-2.63550,5.40578,-1.70018
709372.00000,-2.49821,5.44286,-1.60715
709376.00000,-2.35836,5.47629,-1.51119
709380.00000,-2.21609,5.50639,-1.41244
709384.00000,-2.07155,5.52480,-1.31102
709388.00000,-1.92490,5.54169,-1.20707
709392.00000,-1.77627,5.55179,-1.10073
709396.00000,-1.62582,5.55619,-0.99213
709400.00000,-1.47371,5.54815,-0.88141
709404.00000,-1.32009,5.53653,-0.76868
709408.00000,-1.16512,5.52449,-0.65405
709412.00000,-1.00895,5.50922,-0.53766
709416.00000,-0.85175,5.48415,-0.41965
709420.00000,-0.69368,5.45128,-0.30018
709424.00000,-0.53490,5.41019,-0.17938
709428.00000,-0.37557,5.36059,-0.05740
709432.00000,-0.21586,5.28534,0.06562
709436.00000,-0.05593,5.20614,0.18954
709440.00000,0.10407,5.11854,0.31418
709444.00000,0.26395,5.02855,0.43934
709448.00000,0.42357,4.93200,0.56478
709452.00000,0.58275,4.83207,0.69027
709456.00000,0.74133,4.72422,0.81573
709460.00000,0.89916,4.61224,0.94113
709464.00000,1.05606,4.49792,1.06648
709468.00000,1.21188,4.38010,1.19180
709472.00000,1.36646,4.25801,1.31707
709476.00000,1.51965,4.13542,1.44225
709480.00000,1.67128,4.01359,1.56717
709484.00000,1.82119,3.88831,1.69159
709488.00000,1.96924,3.75418,1.81526
709492.00000,2.11528,3.62310,1.93798
709496.00000,2.25915,3.49243,2.05959
709500.00000,2.40070,3.35815,2.17993
709504.00000,2.53980,3.22396,2.29887
709508.00000,2.67630,3.09448,2.41624
709512.00000,2.81005,2.96275,2.53188
709516.00000,2.94093,2.82770,2.64564
709520.00000,3.06880,2.69612,2.75738
709524.00000,3.19353,2.56626,2.86694
709528.00000,3.31498,2.43625,2.97417
709532.00000,3.43305,2.30581,3.07892
709536.00000,3.54759,2.17823,3.18106
709540.00000,3.65851,2.04826,3.28048
709544.00000,3.76568,1.92232,3.37704
709548.00000,3.86899,1.79560,3.47062
709552.00000,3.96834,1.61785,3.56112
709556.00000,4.06363,1.44194,3.64845
709560.00000,4.15475,1.26064,3.73253
709564.00000,4.24163,1.07528,3.81326
709568.00000,4.32416,0.89230,3.89054
709572.00000,4.40226,0.70997,3.96426
709576.00000,4.47585,0.52435,4.03433
709580.00000,4.54487,0.34027,4.10071
709584.00000,4.60923,0.15984,4.16329
709588.00000,4.66886,-0.02840,4.22201
709592.00000,4.72372,-0.21811,4.27680
709596.00000,4.77375,-0.40929,4.32760
709600.00000,4.81888,-0.60198,4.37432
709604.00000,4.85908,-0.79444,4.41687
709608.00000,4.89430,-0.98471,4.45516
709612.00000,4.92452,-1.17421,4.48913
709616.00000,4.94969,-1.36428,4.51874
709620.00000,4.96979,-1.55217,4.54398
709624.00000,4.98480,-1.73707,4.56482
709628.00000,4.99472,-1.92620,4.58122
709632.00000,4.99951,-2.05784,4.59313
709636.00000,4.99919,-2.18902,4.60056
709640.00000,4.99375,-2.32005,4.60348
709644.00000,4.98319,-2.44215,4.60190
709648.00000,4.96753,-2.56142,4.59579
709652.00000,4.94679,-2.73555,4.58518
709656.00000,4.92098,-2.90390,4.57008
709660.00000,4.89014,-3.06624,4.55053
709664.00000,4.85428,-3.23502,4.52650
709668.00000,4.81346,-3.40316,4.49797
709672.00000,4.76770,-3.56600,4.46493
709676.00000,4.71707,-3.72201,4.42744
709680.00000,4.66160,-3.87092,4.38556
709684.00000,4.60137,-4.02310,4.33930
709688.00000,4.53642,-4.17304,4.28870
709692.00000,4.46682,-4.32118,4.23380
709696.00000,4.39265,-4.46443,4.17463
709700.00000,4.31399,-4.59959,4.11125
709704.00000,4.23091,-4.73914,4.04367
709708.00000,4.14349,-4.86660,3.97189
709712.00000,4.05183,-5.00065,3.89599
709716.00000,3.95603,-5.12840,3.81604
709720.00000,3.85617,-5.24922,3.73212
709724.00000,3.75237,-5.36929,3.64428
709728.00000,3.64472,-5.48642,3.55257
709732.00000,3.53334,-5.54826,3.45705
709736.00000,3.41834,-5.59928,3.35782
709740.00000,3.29985,-5.65463,3.25494
709744.00000,3.17797,-5.69452,3.14851
709748.00000,3.05284,-5.72482,3.03861
709752.00000,2.92459,-5.75461,2.92536
709756.00000,2.79334,-5.78584,2.80888
709760.00000,2.65923,-5.81312,2.68931
709764.00000,2.52239,-5.83003,2.56674
709768.00000,2.38298,-5.84316,2.44127
709772.00000,2.24112,-5.85078,2.31299
709776.00000,2.09697,-5.85193,2.18205
709780.00000,1.95067,-5.85406,2.04857
709784.00000,1.80238,-5.85233,1.91267
709788.00000,1.65224,-5.84493,1.77449
709792.00000,1.50041,-5.82692,1.63418
709796.00000,1.34704,-5.80425,1.49189
709800.00000,1.19229,-5.77644,1.34777
709804.00000,1.03632,-5.73988,1.20197
709808.00000,0.87929,-5.70098,1.05462
709812.00000,0.72136,-5.65029,0.90589
709816.00000,0.56270,-5.60688,0.75596
709820.00000,0.40345,-5.54586,0.60503
709824.00000,0.24379,-5.48419,0.45328
709828.00000,0.08389,-5.41791,0.30098
709832.00000,-0.07611,-5.34103,0.14840
709836.00000,-0.23602,-5.25635,-0.00427
709840.00000,-0.39570,-5.16489,-0.15700
709844.00000,-0.55496,-5.07427,-0.30982
709848.00000,-0.71366,-4.97638,-0.46271
709852.00000,-0.87163,-4.86530,-0.61567
709856.00000,-1.02871,-4.74513,-0.76867
709860.00000,-1.18473,-4.62352,-0.92161
709864.00000,-1.33955,-4.49005,-1.07421
709868.00000,-1.49298,-4.36076,-1.22617
709872.00000,-1.64489,-4.22418,-1.37723
709876.00000,-1.79512,-4.08799,-1.52718
709880.00000,-1.94351,-3.95100,-1.67582
709884.00000,-2.08991,-3.81066,-1.82298
709888.00000,-2.23416,-3.66519,-1.96849
709892.00000,-2.37614,-3.51897,-2.11216
709896.00000,-2.51567,-3.36466,-2.25385
709900.00000,-2.65263,-3.21634,-2.39338
709904.00000,-2.78688,-3.06837,-2.53060
709908.00000,-2.91827,-2.91279,-2.66533
709912.00000,-3.04668,-2.76426,-2.79744
709916.00000,-3.17196,-2.60875,-2.92676
709920.00000,-3.29400,-2.45912,-3.05318
709924.00000,-3.41266,-2.30229,-3.17657
709928.00000,-3.52783,-2.15017,-3.29680
709932.00000,-3.63939,-2.00942,-3.41371
709936.00000,-3.74722,-1.87626,-3.52720
709940.00000,-3.85121,-1.74066,-3.63713
709944.00000,-3.95127,-1.60580,-3.74339
709948.00000,-4.04727,-1.46846,-3.84582
709952.00000,-4.13913,-1.26081,-3.94432
709956.00000,-4.22676,-1.05076,-4.03879
709960.00000,-4.31005,-0.84061,-4.12919
709964.00000,-4.38893,-0.62954,-4.21543
709968.00000,-4.46332,-0.41498,-4.29741
709972.00000,-4.53314,-0.20569,-4.37503
709976.00000,-4.59832,0.00599,-4.44824
709980.00000,-4.65878,0.21409,-4.51697
709984.00000,-4.71448,0.42695,-4.58114
709988.00000,-4.76535,0.63265,-4.64069
709992.00000,-4.81135,0.84051,-4.69554
709996.00000,-4.85241,1.04562,-4.74570
710000.00000,-4.88851,1.24951,-4.79111
710004.00000,-4.91960,1.44991,-4.83170
710008.00000,-4.94565,1.64959,-4.86735
710012.00000,-4.96664,1.85112,-4.89798
710016.00000,-4.98255,2.05931,-4.92355
710020.00000,-4.99335,2.25856,-4.94402
710024.00000,-4.99904,2.45014,-4.95935
710028.00000,-4.99961,2.64251,-4.96951
710032.00000,-4.99507,2.76041,-4.97451
710036.00000,-4.98540,2.87169,-4.97436
710040.00000,-4.97064,2.98385,-4.96906
710044.00000,-4.95078,3.08290,-4.95861
710048.00000,-4.92586,3.17472,-4.94301
710052.00000,-4.89589,3.31600,-4.92229
710056.00000,-4.86091,3.45500,-4.89650
710060.00000,-4.82095,3.59022,-4.86566
710064.00000,-4.77605,3.72328,-4.82979
710068.00000,-4.72627,3.85429,-4.78891
710072.00000,-4.67164,3.98531,-4.74305
710076.00000,-4.61224,4.11498,-4.69225
710080.00000,-4.54810,4.24167,-4.63654
710084.00000,-4.47932,4.36490,-4.57600
710088.00000,-4.40594,4.48942,-4.51071
710092.00000,-4.32806,4.61179,-4.44075
710096.00000,-4.24574,4.72133,-4.36619
710100.00000,-4.15908,4.83586,-4.28712
710104.00000,-4.06816,4.95401,-4.20360
710108.00000,-3.97307,5.06152,-4.11569
710112.00000,-3.87391,5.16651,-4.02348
710116.00000,-3.77079,5.26844,-3.92705
710120.00000,-3.66381,5.37044,-3.82654
710124.00000,-3.55307,5.47213,-3.72207
710128.00000,-3.43870,5.57320,-3.61371
710132.00000,-3.32080,5.61730,-3.50158
710136.00000,-3.19951,5.65453,-3.38577
710140.00000,-3.07494,5.69385,-3.26641
710144.00000,-2.94722,5.72221,-3.14359
710148.00000,-2.81648,5.74932,-3.01744
710152.00000,-2.68286,5.76806,-2.88812
710156.00000,-2.54650,5.77903,-2.75579
710160.00000,-2.40752,5.78849,-2.62062
710164.00000,-2.26608,5.79112,-2.48277
710168.00000,-2.12232,5.78858,-2.34236
710172.00000,-1.97639,5.77950,-2.19954
710176.00000,-1.82843,5.76740,-2.05447
710180.00000,-1.67861,5.75079,-1.90731
710184.00000,-1.52706,5.72450,-1.75821
710188.00000,-1.37395,5.69863,-1.60733
710192.00000,-1.21943,5.66468,-1.45484
710196.00000,-1.06366,5.62596,-1.30091
710200.00000,-0.90681,5.57627,-1.14573
710204.00000,-0.74902,5.52388,-0.98945
710208.00000,-0.59047,5.46865,-0.83227
710212.00000,-0.43132,5.40928,-0.67440
710216.00000,-0.27172,5.34277,-0.51617
710220.00000,-0.11184,5.26803,-0.35784
710224.00000,0.04815,5.18917,-0.19955
710228.00000,0.20809,5.10052,-0.04130
710232.00000,0.36781,5.01221,0.11693
710236.00000,0.52717,4.91896,0.27513
710240.00000,0.68598,4.81689,0.43334
710244.00000,0.84409,4.71445,0.59153
710248.00000,1.00133,4.60454,0.74956
710252.00000,1.15755,4.48261,0.90714
710256.00000,1.31258,4.35791,1.06396
710260.00000,1.46627,4.22850,1.21979
710264.00000,1.61846,4.09520,1.37443
710268.00000,1.76899,3.95803,1.52768
710272.00000,1.91771,3.81894,1.67936
710276.00000,2.06447,3.68036,1.82929
710280.00000,2.20911,3.54019,1.97730
710284.00000,2.35149,3.39674,2.12324
710288.00000,2.49147,3.24755,2.26693
710292.00000,2.62889,3.10014,2.40822
710296.00000,2.76362,2.95394,2.54696
710300.00000,2.89552,2.80708,2.68301
710304.00000,3.02446,2.65957,2.81622
710308.00000,3.15030,2.51755,2.94643
710312.00000,3.27291,2.37351,3.07351
710316.00000,3.39217,2.22870,3.19734
710320.00000,3.50796,2.08710,3.31779
710324.00000,3.62016,1.94673,3.43474
710328.00000,3.72865,1.80772,3.54806
710332.00000,3.83332,1.67849,3.65764
710336.00000,3.93407,1.55052,3.76335
710340.00000,4.03079,1.42467,3.86508
710344.00000,4.12338,1.30192,3.96274
710348.00000,4.21175,1.18286,4.05624
710352.00000,4.29581,0.99508,4.14551
710356.00000,4.37547,0.80714,4.23048
710360.00000,4.45065,0.61838,4.31110
710364.00000,4.52127,0.42602,4.38731
710368.00000,4.58726,0.23494,4.45902
710372.00000,4.64856,0.04823,4.52617
710376.00000,4.70509,-0.14472,4.58870
710380.00000,4.75681,-0.33745,4.64658
710384.00000,4.80366,-0.52595,4.69978
710388.00000,4.84559,-0.72132,4.74826
710392.00000,4.88256,-0.91842,4.79200
710396.00000,4.91453,-1.11772,4.83097
710400.00000,4.94146,-1.31794,4.86513
710404.00000,4.96334,-1.51610,4.89442
710408.00000,4.98014,-1.71279,4.91879
710412.00000,4.99183,-1.90716,4.93819
710416.00000,4.99842,-2.10465,4.95261
710420.00000,4.99988,-2.30071,4.96205
710424.00000,4.99623,-2.49110,4.96650
710428.00000,4.98746,-2.68740,4.96597
710432.00000,4.97359,-2.81001,4.96048
710436.00000,4.95462,-2.93011,4.95004
710440.00000,4.93058,-3.04919,4.93467
710444.00000,4.90149,-3.15999,4.91440
710448.00000,4.86738,-3.27082,4.88925
710452.00000,4.82829,-3.41932,4.85922
710456.00000,4.78425,-3.55475,4.82435
710460.00000,4.73532,-3.68596,4.78468
710464.00000,4.68154,-3.82118,4.74025
710468.00000,4.62296,-3.95794,4.69110
710472.00000,4.55965,-4.08459,4.63726
710476.00000,4.49167,-4.20333,4.57881
710480.00000,4.41909,-4.31698,4.51580
710484.00000,4.34199,-4.43393,4.44830
710488.00000,4.26044,-4.54788,4.37637
710492.00000,4.17453,-4.66262,4.30007
710496.00000,4.08435,-4.77087,4.21947
710500.00000,3.98998,-4.87188,4.13467
710504.00000,3.89153,-4.97955,4.04575
710508.00000,3.78909,-5.07158,3.95280
710512.00000,3.68278,-5.16941,3.85588
710516.00000,3.57269,-5.25984,3.75509
710520.00000,3.45894,-5.34635,3.65053
710524.00000,3.34166,-5.42766,3.54228
710528.00000,3.22095,-5.50694,3.43040
710532.00000,3.09694,-5.54860,3.31499
710536.00000,2.96976,-5.58569,3.19616
710540.00000,2.83955,-5.62552,3.07402
710544.00000,2.70642,-5.64825,2.94869
710548.00000,2.57052,-5.66018,2.82031
710552.00000,2.43199,-5.68047,2.68904
710556.00000,2.29097,-5.70295,2.55503
710560.00000,2.14761,-5.71527,2.41846
710564.00000,2.00205,-5.72077,2.27947
710568.00000,1.85443,-5.72393,2.13819
710572.00000,1.70492,-5.71930,1.99475
710576.00000,1.55366,-5.70681,1.84930
710580.00000,1.40081,-5.69530,1.70199
710584.00000,1.24653,-5.67775,1.55298
710588.00000,1.09097,-5.65897,1.40243
710592.00000,0.93429,-5.62956,1.25050
710596.00000,0.77666,-5.59650,1.09739
710600.00000,0.61823,-5.55814,0.94326
710604.00000,0.45917,-5.51579,0.78829
710608.00000,0.29964,-5.46658,0.63268
710612.00000,0.13980,-5.40906,0.47671
710616.00000,-0.02018,-5.35339,0.32062
710620.00000,-0.18014,-5.27993,0.16457
710624.00000,-0.33992,-5.21239,0.00855
710628.00000,-0.49935,-5.13664,-0.14745
710632.00000,-0.65827,-5.04922,-0.30342
710636.00000,-0.81651,-4.95704,-0.45939
710640.00000,-0.97392,-4.86259,-0.61533
710644.00000,-1.13033,-4.76282,-0.77110
710648.00000,-1.28558,-4.65860,-0.92643
710652.00000,-1.43952,-4.52486,-1.08104
710656.00000,-1.59198,-4.38538,-1.23471
710660.00000,-1.74281,-4.24343,-1.38724
710664.00000,-1.89186,-4.09241,-1.53846
710668.00000,-2.03897,-3.94379,-1.68821
710672.00000,-2.18399,-3.78742,-1.83632
710676.00000,-2.32678,-3.63274,-1.98264
710680.00000,-2.46718,-3.47462,-2.12700
710684.00000,-2.60506,-3.31353,-2.26925
710688.00000,-2.74027,-3.14905,-2.40925
710692.00000,-2.87268,-2.98415,-2.54683
710696.00000,-3.00214,-2.81542,-2.68186
710700.00000,-3.12853,-2.65122,-2.81419
710704.00000,-3.25172,-2.48611,-2.94367
710708.00000,-3.37158,-2.31891,-3.07017
710712.00000,-3.48798,-2.15212,-3.19353
710716.00000,-3.60081,-1.97971,-3.31364
710720.00000,-3.70996,-1.81212,-3.43037
710724.00000,-3.81531,-1.64249,-3.54359
710728.00000,-3.91675,-1.47385,-3.65318
710732.00000,-4.01418,-1.33464,-3.75903
710736.00000,-4.10750,-1.20067,-3.86101
710740.00000,-4.19662,-1.06863,-3.95905
710744.00000,-4.28143,-0.93750,-4.05302
710748.00000,-4.36187,-0.80811,-4.14281
710752.00000,-4.43784,-0.61858,-4.22834
710756.00000,-4.50926,-0.42923,-4.30953
710760.00000,-4.57607,-0.23901,-4.38630
710764.00000,-4.63819,-0.04750,-4.45857
710768.00000,-4.69556,0.14619,-4.52623
710772.00000,-4.74812,0.33866,-4.58923
710776.00000,-4.79583,0.52695,-4.64750
710780.00000,-4.83862,0.70886,-4.70102
710784.00000,-4.87646,0.89879,-4.74973
710788.00000,-4.90930,1.08001,-4.79359
710792.00000,-4.93712,1.26047,-4.83256
710796.00000,-4.95988,1.44312,-4.86662
710800.00000,-4.97757,1.62349,-4.89576
710804.00000,-4.99016,1.79907,-4.91992
710808.00000,-4.99763,1.97259,-4.93907
710812.00000,-5.00000,2.14631,-4.95315
710816.00000,-4.99724,2.32555,-4.96215
710820.00000,-4.98936,2.49634,-4.96607
710824.00000,-4.97638,2.66035,-4.96489
710828.00000,-4.95830,2.82778,-4.95857
710832.00000,-4.93514,2.93155,-4.94712
710836.00000,-4.90694,3.02603,-4.93054
710840.00000,-4.87370,3.12404,-4.90888
710844.00000,-4.83548,3.20958,-4.88214
710848.00000,-4.79230,3.28654,-4.85037
710852.00000,-4.74422,3.44291,-4.81362
710856.00000,-4.69128,3.60142,-4.77200
710860.00000,-4.63354,3.75711,-4.72560
710864.00000,-4.57105,3.90754,-4.67445
710868.00000,-4.50389,4.05802,-4.61860
710872.00000,-4.43211,4.20749,-4.55810
710876.00000,-4.35579,4.35393,-4.49304
710880.00000,-4.27501,4.49793,-4.42353
710884.00000,-4.18986,4.63633,-4.34964
710888.00000,-4.10041,4.77824,-4.27147
710892.00000,-4.00677,4.91788,-4.18913
710896.00000,-3.90903,5.04299,-4.10268
710900.00000,-3.80728,5.17549,-4.01216
710904.00000,-3.70163,5.31039,-3.91761
710908.00000,-3.59220,5.43346,-3.81908
710912.00000,-3.47908,5.55112,-3.71668
710916.00000,-3.36241,5.66965,-3.61049
710920.00000,-3.24229,5.78079,-3.50065
710924.00000,-3.11885,5.88979,-3.38727
710928.00000,-2.99221,6.00134,-3.27043
710932.00000,-2.86252,6.02402,-3.15023
710936.00000,-2.72989,6.03976,-3.02676
710940.00000,-2.59447,6.05787,-2.90013
710944.00000,-2.45639,6.06162,-2.77046
710948.00000,-2.31579,6.06469,-2.63788
710952.00000,-2.17283,6.04533,-2.50253
710956.00000,-2.02764,6.01951,-2.36457
710960.00000,-1.88037,5.99117,-2.22414
710964.00000,-1.73118,5.95887,-2.08135
710968.00000,-1.58022,5.92000,-1.93633
710972.00000,-1.42763,5.87544,-1.78920
710976.00000,-1.27359,5.82829,-1.64011
710980.00000,-1.11824,5.77516,-1.48921
710984.00000,-0.96175,5.71513,-1.33666
710988.00000,-0.80427,5.65511,-1.18260
710992.00000,-0.64597,5.58770,-1.02721
710996.00000,-0.48701,5.51698,-0.87067
711000.00000,-0.32754,5.43662,-0.71315
711004.00000,-0.16775,5.35483,-0.55487
711008.00000,-0.00778,5.26908,-0.39607
711012.00000,0.15220,5.17852,-0.23711
711016.00000,0.31202,5.08336,-0.07823
711020.00000,0.47152,4.97939,0.08046
711024.00000,0.63054,4.87635,0.23902
711028.00000,0.78891,4.76360,0.39747
711032.00000,0.94647,4.66489,0.55582
711036.00000,1.10307,4.55947,0.71412
